project_name,approach,provider,model_name,prompt_template,metric_group,metric_name,run_count,mean,median,population_stddev,minimum,maximum
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,short_responsibility_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,short_responsibility_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,total_responsibility_word_count,1,93.0,93.0,0.0,93.0,93.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,unique_service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,valid_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,api_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,average_call_duration_ms,1,7875.0,7875.0,0.0,7875.0,7875.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,critic_issue_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,critic_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,distinct_role_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,failed_llm_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,failed_llm_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,final_snapshot_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,final_snapshot_service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,interactions_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,interactions_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,max_call_duration_ms,1,7875.0,7875.0,0.0,7875.0,7875.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,parse_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,refinement_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,retry_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,retry_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,revision_request_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,services_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,services_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,stopped_by_iteration_limit,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,successful_llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,total_call_duration_ms,1,7875.0,7875.0,0.0,7875.0,7875.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,total_response_char_count,1,1376.0,1376.0,0.0,1376.0,1376.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,total_system_prompt_char_count,1,1768.0,1768.0,0.0,1768.0,1768.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,total_user_prompt_char_count,1,20551.0,20551.0,0.0,20551.0,20551.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,trace_available,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,trace_elapsed_ms,1,7885.657,7885.657,0.0,7885.657,7885.657
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,trace_event_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,trace_invalid_json_line_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,process,workflow_converged,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,average_incoming_communications,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,average_outgoing_communications,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,average_responsibility_token_jaccard,1,0.05890743341871161,0.05890743341871161,0.0,0.05890743341871161,0.05890743341871161
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,average_responsibility_word_count,1,31.5,31.5,0.0,31.5,31.5
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,communication_density,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,declared_communication_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,duplicate_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,duplicate_service_name_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,invalid_communication_target_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,isolated_services_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,isolated_services_ratio,1,0.25,0.25,0.0,0.25,0.25
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,malformed_service_row_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,max_incoming_communications,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,max_outgoing_communications,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,max_responsibility_word_count,1,50.0,50.0,0.0,50.0,50.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,min_responsibility_word_count,1,21.0,21.0,0.0,21.0,21.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,raw_declared_communication_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,reciprocal_communication_pair_count,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,reciprocity_ratio,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,responsibility_word_count_stddev,1,11.05667219374799,11.05667219374799,0.0,11.05667219374799,11.05667219374799
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,self_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,short_responsibility_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,short_responsibility_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,total_responsibility_word_count,1,126.0,126.0,0.0,126.0,126.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,unique_service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,architecture,valid_communication_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,api_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,average_call_duration_ms,1,8453.0,8453.0,0.0,8453.0,8453.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,critic_issue_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,critic_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,distinct_role_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,failed_llm_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,failed_llm_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,final_snapshot_communication_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,final_snapshot_service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,interactions_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,interactions_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,max_call_duration_ms,1,8453.0,8453.0,0.0,8453.0,8453.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,parse_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,refinement_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,retry_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,retry_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,revision_request_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,services_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,services_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,stopped_by_iteration_limit,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,successful_llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,total_call_duration_ms,1,8453.0,8453.0,0.0,8453.0,8453.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,total_response_char_count,1,1635.0,1635.0,0.0,1635.0,1635.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,total_system_prompt_char_count,1,1768.0,1768.0,0.0,1768.0,1768.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,total_user_prompt_char_count,1,15820.0,15820.0,0.0,15820.0,15820.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,trace_available,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,trace_elapsed_ms,1,8463.158,8463.158,0.0,8463.158,8463.158
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,trace_event_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,trace_invalid_json_line_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,process,workflow_converged,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,average_incoming_communications,1,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,average_outgoing_communications,1,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,average_responsibility_token_jaccard,1,0.10214752567693745,0.10214752567693745,0.0,0.10214752567693745,0.10214752567693745
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,average_responsibility_word_count,1,10.333333333333334,10.333333333333334,0.0,10.333333333333334,10.333333333333334
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,communication_density,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,declared_communication_count,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,duplicate_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,duplicate_service_name_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,invalid_communication_target_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,isolated_services_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,isolated_services_ratio,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,malformed_service_row_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,max_incoming_communications,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,max_outgoing_communications,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,max_responsibility_word_count,1,12.0,12.0,0.0,12.0,12.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,min_responsibility_word_count,1,7.0,7.0,0.0,7.0,7.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,raw_declared_communication_count,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,reciprocal_communication_pair_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,reciprocity_ratio,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,responsibility_word_count_stddev,1,2.3570226039551585,2.3570226039551585,0.0,2.3570226039551585,2.3570226039551585
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,self_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,service_count,1,3.0,3.0,0.0,3.0,3.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,short_responsibility_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,short_responsibility_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,total_responsibility_word_count,1,31.0,31.0,0.0,31.0,31.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,unique_service_count,1,3.0,3.0,0.0,3.0,3.0
7ep,direct,deepseek,deepseek-chat,few_shot,architecture,valid_communication_count,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,api_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,average_call_duration_ms,1,1937.0,1937.0,0.0,1937.0,1937.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,critic_issue_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,critic_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,distinct_role_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,failed_llm_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,failed_llm_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,final_snapshot_communication_count,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,final_snapshot_service_count,1,3.0,3.0,0.0,3.0,3.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,interactions_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,interactions_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,max_call_duration_ms,1,1937.0,1937.0,0.0,1937.0,1937.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,parse_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,refinement_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,retry_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,retry_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,revision_request_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,services_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,services_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,stopped_by_iteration_limit,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,successful_llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,total_call_duration_ms,1,1937.0,1937.0,0.0,1937.0,1937.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,total_response_char_count,1,702.0,702.0,0.0,702.0,702.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,total_system_prompt_char_count,1,1768.0,1768.0,0.0,1768.0,1768.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,total_user_prompt_char_count,1,20551.0,20551.0,0.0,20551.0,20551.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,trace_available,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,trace_elapsed_ms,1,1937.603,1937.603,0.0,1937.603,1937.603
7ep,direct,deepseek,deepseek-chat,few_shot,process,trace_event_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,trace_invalid_json_line_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,process,workflow_converged,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,average_incoming_communications,1,1.5,1.5,0.0,1.5,1.5
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,average_outgoing_communications,1,1.5,1.5,0.0,1.5,1.5
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,average_responsibility_token_jaccard,1,0.06739672364672365,0.06739672364672365,0.0,0.06739672364672365,0.06739672364672365
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,average_responsibility_word_count,1,9.75,9.75,0.0,9.75,9.75
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,communication_density,1,0.5,0.5,0.0,0.5,0.5
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,declared_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,duplicate_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,duplicate_service_name_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,invalid_communication_target_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,isolated_services_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,isolated_services_ratio,1,0.25,0.25,0.0,0.25,0.25
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,malformed_service_row_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,max_incoming_communications,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,max_outgoing_communications,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,max_responsibility_word_count,1,12.0,12.0,0.0,12.0,12.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,min_responsibility_word_count,1,7.0,7.0,0.0,7.0,7.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,raw_declared_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,reciprocal_communication_pair_count,1,3.0,3.0,0.0,3.0,3.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,reciprocity_ratio,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,responsibility_word_count_stddev,1,1.7853571071357126,1.7853571071357126,0.0,1.7853571071357126,1.7853571071357126
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,self_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,short_responsibility_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,short_responsibility_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,total_responsibility_word_count,1,39.0,39.0,0.0,39.0,39.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,unique_service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,deepseek,deepseek-chat,zero_shot,architecture,valid_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,api_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,average_call_duration_ms,1,3375.0,3375.0,0.0,3375.0,3375.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,critic_issue_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,critic_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,distinct_role_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,failed_llm_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,failed_llm_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,final_snapshot_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,final_snapshot_service_count,1,4.0,4.0,0.0,4.0,4.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,interactions_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,interactions_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,llm_call_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,max_call_duration_ms,1,3375.0,3375.0,0.0,3375.0,3375.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,parse_error_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,refinement_round_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,retry_call_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,retry_call_ratio,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,revision_request_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,services_added_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,process,services_removed_during_refinement_count,1,0.0,0.0,0.0,0.0,0.0
