Requisitos - Categorias,Identificação,Descrição,GitHub - InnoFang/jokul: 🎬A movie site built by Spring Boot and React.js based on front-end and back-end separation. · GitHub
,RNF - 44,O tratamento de erros deve retornar mensagens controladas ao usuario sempre que possivel.,
Seguranca e controle de acesso,RNF - 45,O sistema deve operar com separacao de perfis entre usuario comum e administrador.,
,RNF - 46,Funcoes de gestao do acervo devem ser restritas ao perfil administrador.,
,RNF - 47,A sessao do usuario deve permanecer identificada no navegador ate que ele realize logout ou limpe seus dados locais.,
Midia e armazenamento,RNF - 48,"O sistema deve suportar upload de arquivos de video grandes, de ate 2 GB por arquivo.",
,RNF - 49,O processo operacional da aplicacao deve considerar o formato MP4 como formato padrao de video.,
,RNF - 50,O ambiente da aplicacao deve possuir uma area local para armazenar temporariamente ou servir os arquivos de video consumidos na reproducao.,
,RNF - 51,O ambiente da aplicacao deve possuir um repositorio local configurado de onde os filmes possam ser carregados sob demanda.,
Integracao e arquitetura operacional,RNF - 52,A solucao deve permitir que a interface do usuario e os servicos da aplicacao evoluam de forma separada.,
,RNF - 53,A interface do usuario deve conseguir consumir os servicos da aplicacao mesmo quando estiver publicada em ambiente distinto.,
,RNF - 54,"Os dados de usuarios, filmes e categorias devem ser armazenados em uma base estruturada que suporte os relacionamentos do catalogo.",
Regras e restricoes de negocio observadas,RNF - 55,O sistema trabalha com dois tipos de usuario: comum e administrador.,
,RNF - 56,Um filme pode ter varias categorias associadas.,
,RNF - 57,"O envio do arquivo de video e o cadastro do filme sao etapas relacionadas, mas independentes.",
,RNF - 58,A reproducao automatica depende da existencia de um arquivo MP4 correspondente ao titulo cadastrado.,
,RNF - 59,O nome do arquivo de origem do filme precisa seguir o padrao esperado pela configuracao do ambiente para que a carga automatica funcione.,
Observacoes sobre o estado atual do codigo,RNF - 60,"A intencao de restringir a gestao de recursos ao administrador esta clara na interface, mas essa restricao nao aparece validada de forma completa no backend.",
,RNF - 61,O sistema atual esta mais orientado a um acervo local de filmes do que a um armazenamento remoto ou servico de streaming externo.,
,RNF - 62,A disponibilidade para reproducao depende tanto do cadastro do filme quanto da existencia do arquivo fisico correspondente.,
