project_name,approach,provider,model,prompt_template,run_number,output_path,trace_path,timestamp,status,error
cargo-tracker,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T21:58:33.502055+00:00,success,
cargo-tracker,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T21:58:53.703519+00:00,success,
daytrader7,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T21:59:19.827572+00:00,success,
daytrader7,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T21:59:33.884998+00:00,success,
Jokul,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T21:59:58.233792+00:00,success,
Jokul,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T22:00:09.702512+00:00,success,
jpetstore,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T22:00:21.393982+00:00,success,
jpetstore,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T22:00:36.350036+00:00,success,
pet-clinic,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T22:00:51.851919+00:00,success,
pet-clinic,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T22:01:07.518559+00:00,success,
7ep,direct,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:02:01.218814+00:00,success,
7ep,direct,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:02:08.704803+00:00,success,
acmeair,direct,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:02:17.105669+00:00,success,
acmeair,direct,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:02:27.007599+00:00,success,
cargo-tracker,direct,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:02:37.784030+00:00,success,
cargo-tracker,direct,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:02:50.114871+00:00,success,
daytrader7,direct,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:03:04.099096+00:00,success,
daytrader7,direct,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:03:14.550164+00:00,success,
Jokul,direct,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:03:26.401746+00:00,success,
Jokul,direct,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:03:32.667882+00:00,success,
jpetstore,direct,anthropic,claude-opus-4-8,zero_shot,1,,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:03:40.353180+00:00,error,"Failed to obtain a valid microservice proposal. Last error: API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CeQDsNkE9Ns7v4PyKkRk5'}"
jpetstore,direct,anthropic,claude-opus-4-8,few_shot,1,,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:03:46.580867+00:00,error,"Failed to obtain a valid microservice proposal. Last error: API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CeQDspub6edcqTnrhiVCt'}"
pet-clinic,direct,anthropic,claude-opus-4-8,zero_shot,1,,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-25T22:03:49.400851+00:00,error,"Failed to obtain a valid microservice proposal. Last error: API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CeQDt3Te6cTihy9KczSdV'}"
pet-clinic,direct,anthropic,claude-opus-4-8,few_shot,1,,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-25T22:03:49.813839+00:00,error,"Failed to obtain a valid microservice proposal. Last error: API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CeQDt4nmFNEfvzo2iJ5XJ'}"
TNTConcept,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-26T13:49:31.710629+00:00,success,
TNTConcept,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-26T13:49:39.955604+00:00,success,
TNTConcept,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-26T13:50:56.749790+00:00,success,
TNTConcept,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-26T13:51:34.069098+00:00,success,
7ep,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-28T21:24:33.480429+00:00,success,
7ep,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-28T21:25:00.089625+00:00,success,
acmeair,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-28T21:25:27.084727+00:00,success,
acmeair,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-28T21:25:48.293514+00:00,success,
cargo-tracker,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-28T21:26:10.837305+00:00,success,
cargo-tracker,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-28T21:26:40.745049+00:00,success,
daytrader7,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-28T21:27:02.806888+00:00,success,
daytrader7,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-28T21:27:16.675935+00:00,success,
Jokul,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-28T21:27:46.682975+00:00,success,
Jokul,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-28T21:27:58.693832+00:00,success,
jpetstore,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-28T21:28:12.812569+00:00,success,
